tweet,keyword,date,user,source,tweet_id,url
"Ralph Nader on Bloomberg’s plot to stop Bernie, the rot within the DNC, and his recent call with Pelosi  by @jeremyscahill",bloomberg,2020-02-16 16:20:28,tfknocks,Twitter Web Client,1229078097657352194,https://twitter.com/statuses/1229078097657352194
"Warren’s been doing the work, while some are relying on rhetoric to get them through.",warren,2020-02-16 16:20:28,pat_patstalk,Twitter for iPad,1229078099616157696,https://twitter.com/statuses/1229078099616157696
@Trump_Detester I am not sure if I want Bloomberg to be president but this has to be the greatest ad for president I have ever seen lol.,bloomberg,2020-02-16 16:20:28,dolphin110173,Twitter Web App,1229078099683311618,https://twitter.com/statuses/1229078099683311618
Michael Bloomberg rocked by re-emergence of sexist remarks  via @Instapaper,bloomberg,2020-02-16 16:20:28,akahnnyc,Twitter for iPhone,1229078100136341506,https://twitter.com/statuses/1229078100136341506
Look up “political hack” in the dictionary and you’ll see a picture of James Carville. Look up “mensch” and you’ll see a picture of @SenSanders,sanders,2020-02-16 16:20:29,SMeinrath,Twitter for iPhone,1229078101474177024,https://twitter.com/statuses/1229078101474177024
Biden Fantasizes About Beating Up Trump During The View Interview: Just He and I in a Room,biden,2020-02-16 16:20:30,malcolmsimpson,Twitter for Android,1229078105160966149,https://twitter.com/statuses/1229078105160966149
"#BREAKING VIDEO JULY 2010

@Mike Bloomberg calls Obamacare as ""a disgrace,""it would do ""nothing to fix the big health care problems in this country and ""just created another program that is going to cost a lot of money.""",bloomberg,2020-02-16 16:20:30,Biden_Train,Twitter Web App,1229078106213928960,https://twitter.com/statuses/1229078106213928960
"Opposing Trump’s re-election AND opposing the candidacy of someone inappropriate for this country and/or this moment in our history, such as Bloomberg, Bernie, or Biden, are both legitimate acts of #Resistance.","biden, bloomberg",2020-02-16 16:20:30,RejectRapepubl1,Twitter for iPhone,1229078108122353666,https://twitter.com/statuses/1229078108122353666
Read my Feb 16 Newsletter featuring “Bloomberg reportedly considering Hillary Clinton as his running mate”,bloomberg,2020-02-16 16:20:31,familytreemake2,Nuzzel,1229078110093611008,https://twitter.com/statuses/1229078110093611008
"Some of the e warren stans r so fuccing crazy. They like, I support the voices of POC 💅 anyway so we are sanctioning Venezuela...",warren,2020-02-16 16:20:31,befflebeffle,Twitter for Android,1229078110366322690,https://twitter.com/statuses/1229078110366322690
Bernies trumps best asset so it’s up to Bloomberg to be US 1st Jew although dna says Iincoln was killed as a Mellungeon Jew but as a Jew it won’t bode good for us.,bloomberg,2020-02-16 16:20:31,BeattyStockman,Twitter for iPad,1229078110244679680,https://twitter.com/statuses/1229078110244679680
